project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004354,2050554,01,Bushnell,119949C,B204001189,
2004354,2050555,02,Bushnell,119949C,B210402765,
2004354,2050556,03,Bushnell,119949C,B210402760,
2004354,2051537,24,Bushnell,PRIME LOW GLOW,BZ20213600711,
2004354,2051538,23,Bushnell,PRIME LOW GLOW,BZ20213600715,
2004354,2051539,21,Bushnell,PRIME LOW GLOW,BZ20213600714,
2004354,2051540,15,Bushnell,PRIME LOW GLOW,BZ20213600071,
2004354,2051541,13,Bushnell,PRIME LOW GLOW,BZ20213600072,
2004354,2051542,14,Bushnell,PRIME LOW GLOW,BZ20213600073,
2004354,2051543,11,Bushnell,PRIME LOW GLOW,BZ20213600074,
2004354,2051544,12,Bushnell,PRIME LOW GLOW,BZ20213600075,
2004354,2051545,10,Bushnell,PRIME LOW GLOW,BZ20211901329,
2004354,2051546,08,Bushnell,PRIME LOW GLOW,BZ20211901330,
2004354,2051547,09,Bushnell,PRIME LOW GLOW,BZ20211901125,
2004354,2051548,07,Bushnell,PRIME LOW GLOW,BZ20211901326,
2004354,2051549,20,Bushnell,119938C CORE NO GLOW,CI20212400397,
2004354,2051550,19,Bushnell,119938C CORE NO GLOW,CI20212400394,
2004354,2051551,18,Bushnell,119938M CORE NO GLOW,CI20212000211,
2004354,2051552,17,Bushnell,119938C CORE NO GLOW,CI20212400392,
2004354,2051553,16,Bushnell,119938C CORE NO GLOW,CI20212400393,
2004354,2051554,06,Bushnell,119938C CORE NO GLOW,CI20212400388,
2004354,2051559,25,Bushnell,119938C CORE NO GLOW,BZ20213600713,
2004354,2052671,22,,,,
